"Date","Price","Open","High","Low","Vol.","Change %"
"10/08/2019","523.86","526.78","532.50","523.65","","-0.56%"
"10/07/2019","526.79","527.96","529.06","526.10","","-0.29%"
"10/04/2019","528.34","529.34","530.75","524.81","","-0.16%"
"10/03/2019","529.17","524.57","529.54","522.21","","0.83%"
"10/02/2019","524.80","525.78","525.78","522.07","","-0.17%"
"10/01/2019","525.71","527.08","527.41","524.59","","-0.26%"
"09/30/2019","527.10","524.77","528.46","521.72","","0.40%"
"09/27/2019","524.99","533.27","533.28","523.09","","-1.58%"
"09/26/2019","533.43","532.87","535.84","532.70","","0.10%"
"09/25/2019","532.91","534.50","534.56","529.23","","-0.29%"
"09/24/2019","534.45","539.24","540.39","534.17","","-0.87%"
"09/23/2019","539.13","546.66","546.98","539.13","","-1.36%"
"09/20/2019","546.58","548.32","548.43","544.84","","-0.07%"
"09/19/2019","546.94","549.88","550.82","545.62","","-0.55%"
"09/18/2019","549.99","549.42","551.67","548.56","","0.08%"
"09/17/2019","549.57","554.02","554.02","546.94","","-0.83%"
"09/16/2019","554.19","557.57","557.57","552.21","","-0.67%"
"09/13/2019","557.91","553.88","558.63","553.47","","0.78%"
"09/12/2019","553.60","549.30","555.18","549.29","","0.82%"
"09/11/2019","549.09","543.09","549.35","542.69","","1.09%"
"09/10/2019","543.16","545.82","547.74","541.18","","-0.45%"
"09/09/2019","545.61","544.72","546.92","543.78","","0.14%"
"09/06/2019","544.87","543.47","546.60","543.47","","0.31%"
"09/05/2019","543.21","535.33","543.31","535.33","","1.45%"
"09/04/2019","535.43","524.38","536.90","524.38","","2.10%"
"09/03/2019","524.44","529.24","530.29","524.23","","-0.92%"
"09/02/2019","529.33","526.87","529.62","526.29","","0.40%"
"08/30/2019","527.24","522.80","528.04","522.80","","0.87%"
"08/29/2019","522.68","518.39","523.33","514.54","","0.79%"
"08/28/2019","518.56","519.28","522.20","516.32","","-0.14%"
"08/27/2019","519.30","517.74","521.24","517.49","","0.31%"
"08/26/2019","517.68","523.46","523.46","510.90","","-1.24%"
"08/23/2019","524.18","526.25","529.74","523.56","","-0.38%"
"08/22/2019","526.20","530.50","531.90","525.49","","-0.79%"
"08/21/2019","530.37","530.11","532.56","528.69","","0.06%"
"08/20/2019","530.05","529.88","533.00","529.05","","0.00%"
"08/19/2019","530.06","518.46","530.26","518.46","","2.27%"
"08/16/2019","518.32","511.60","518.63","509.67","","1.32%"
"08/15/2019","511.59","509.45","513.35","502.53","","0.48%"
"08/14/2019","509.13","509.78","516.81","507.59","","-0.10%"
"08/13/2019","509.64","511.37","511.37","504.81","","-0.36%"
"08/12/2019","511.46","511.17","515.04","509.66","","0.05%"
"08/09/2019","511.18","516.07","519.08","511.16","","-0.97%"
"08/08/2019","516.21","509.58","516.21","509.49","","1.29%"
"08/07/2019","509.62","508.68","510.90","506.17","","0.18%"
"08/06/2019","508.70","509.55","509.81","498.44","","-0.20%"
"08/05/2019","509.74","528.33","528.33","508.43","","-3.62%"
"08/02/2019","528.91","543.55","543.55","528.54","","-2.72%"
"08/01/2019","543.71","550.11","550.85","541.71","","-1.19%"
"07/31/2019","550.27","556.13","556.13","548.22","","-1.06%"
"07/30/2019","556.18","557.08","560.38","555.67","","-0.16%"
"07/29/2019","557.08","560.11","560.17","555.96","","-0.50%"
"07/26/2019","559.87","562.74","562.74","559.40","","-0.55%"
"07/25/2019","562.95","560.44","564.50","560.44","","0.43%"
"07/24/2019","560.52","557.36","563.29","557.36","","0.59%"
"07/23/2019","557.25","552.66","557.49","552.66","","0.83%"
"07/22/2019","552.67","557.82","557.82","551.41","","-0.91%"
"07/19/2019","557.72","552.97","559.40","552.97","","0.97%"
"07/18/2019","552.35","557.13","557.14","551.82","","-0.86%"
"07/17/2019","557.13","557.32","558.18","554.05","","-0.01%"
"07/16/2019","557.17","555.76","558.13","555.08","","0.30%"
"07/15/2019","555.48","549.95","555.76","544.75","","0.94%"
"07/12/2019","550.31","550.00","552.11","549.24","","0.01%"
"07/11/2019","550.27","548.69","553.58","548.69","","0.28%"
"07/10/2019","548.72","546.87","551.46","546.87","","0.34%"
"07/09/2019","546.86","548.85","548.92","544.77","","-0.41%"
"07/08/2019","549.11","560.50","560.50","549.05","","-2.10%"
"07/05/2019","560.89","562.67","563.29","560.24","","-0.41%"
"07/04/2019","563.18","563.37","566.02","562.80","","0.02%"
"07/03/2019","563.05","565.77","565.82","562.14","","-0.49%"
"07/02/2019","565.81","558.07","566.87","558.07","","1.41%"
"07/01/2019","557.93","553.93","560.08","553.93","","0.84%"
"06/28/2019","553.27","554.38","554.88","552.30","","-0.21%"
"06/27/2019","554.45","547.73","554.83","547.73","","1.22%"
"06/26/2019","547.75","543.78","548.41","540.66","","0.74%"
"06/25/2019","543.75","551.62","551.94","542.92","","-1.41%"
"06/24/2019","551.52","550.29","553.32","549.07","","0.20%"
"06/21/2019","550.44","551.96","553.77","548.92","","-0.20%"
"06/20/2019","551.57","542.35","552.83","542.35","","1.78%"
"06/19/2019","541.92","533.48","542.80","533.48","","2.10%"
"06/18/2019","530.78","522.95","532.97","522.74","","1.50%"
"06/17/2019","522.94","522.80","526.46","521.93","","0.00%"
"06/14/2019","522.94","526.99","527.64","522.33","","-0.82%"
"06/13/2019","527.26","527.26","528.01","521.27","","-0.02%"
"06/12/2019","527.35","534.67","534.67","526.49","","-1.32%"
"06/11/2019","534.43","526.83","536.38","526.83","","1.47%"
"06/10/2019","526.69","514.34","528.35","514.34","","2.43%"
"06/07/2019","514.19","512.00","514.93","512.00","","0.43%"
"06/06/2019","511.97","512.69","513.32","510.17","","-0.13%"
"06/05/2019","512.66","513.54","519.24","511.04","","-0.12%"
"06/04/2019","513.27","514.75","515.29","508.99","","-0.32%"
"06/03/2019","514.93","512.17","516.16","511.26","","0.54%"
"05/31/2019","512.14","513.36","516.87","511.58","","-0.25%"
"05/30/2019","513.40","512.47","514.59","511.14","","0.20%"
"05/29/2019","512.40","512.95","517.84","511.13","","-0.57%"
"05/28/2019","515.36","513.80","519.50","513.59","","0.33%"
"05/27/2019","513.66","514.03","515.71","509.44","","-0.04%"
"05/24/2019","513.89","514.05","517.89","513.87","","0.01%"
"05/23/2019","513.83","524.55","524.57","512.91","","-2.05%"
