"Date","Price","Open","High","Low","Vol.","Change %"
"02/14/2017","125.15","125.40","125.56","124.93","174.04K","-0.18%"
"02/13/2017","125.37","125.73","125.74","125.26","104.14K","-0.18%"
"02/10/2017","125.60","125.50","125.90","125.48","139.39K","-0.30%"
"02/09/2017","125.98","125.97","126.23","125.76","192.27K","-0.08%"
"02/08/2017","126.08","125.33","126.28","125.32","194.44K","0.61%"
"02/07/2017","125.32","125.15","125.44","124.90","158.51K","0.26%"
"02/06/2017","125.00","124.42","125.18","124.35","134.56K","0.38%"
"02/03/2017","124.53","123.86","124.64","123.81","133.70K","0.26%"
"02/02/2017","124.21","123.34","124.47","123.17","198.72K","0.67%"
"02/01/2017","123.38","123.50","123.67","123.25","172.29K","-0.40%"
"01/31/2017","123.87","123.69","123.93","123.20","229.20K","0.18%"
"01/30/2017","123.65","123.34","123.79","122.99","137.41K","0.26%"
"01/27/2017","123.33","122.89","123.42","122.81","133.90K","0.41%"
"01/26/2017","122.83","123.10","123.18","122.60","153.19K","-0.43%"
"01/25/2017","123.36","123.95","124.00","123.15","187.62K","-0.71%"
"01/24/2017","124.24","124.27","124.53","124.07","174.70K","-0.03%"
"01/23/2017","124.28","124.27","124.73","123.93","139.21K","0.36%"
"01/20/2017","123.83","124.25","124.42","123.62","138.21K","-0.26%"
"01/19/2017","124.15","124.44","124.58","123.89","160.98K","-0.62%"
"01/18/2017","124.92","125.10","125.10","124.75","139.85K","-0.20%"
"01/17/2017","125.17","125.27","125.73","124.89","172.92K","0.21%"
"01/16/2017","124.91","124.82","125.10","124.68","80.34K","0.35%"
"01/13/2017","124.47","124.91","125.21","124.26","154.50K","-0.60%"
"01/12/2017","125.22","124.96","125.30","124.90","146.17K","0.55%"
"01/11/2017","124.53","124.49","124.82","124.31","129.00K","0.01%"
"01/10/2017","124.52","124.64","124.89","124.36","138.33K","-0.06%"
"01/09/2017","124.59","124.19","124.94","124.17","111.86K","0.21%"
"01/06/2017","124.33","124.94","125.16","124.18","126.87K","-0.50%"
"01/05/2017","124.95","124.82","125.35","124.22","186.05K","0.11%"
"01/04/2017","124.81","124.89","125.01","124.62","121.99K","0.08%"
"01/03/2017","124.71","125.80","125.83","124.30","164.11K","-0.89%"
"01/02/2017","125.83","125.83","125.83","125.83","","0.00%"
"12/30/2016","125.83","125.67","126.00","125.51","54.36K","-0.03%"
"12/29/2016","125.87","125.27","125.99","125.25","75.54K","0.63%"
"12/28/2016","125.08","125.08","125.09","125.08","0.16K","0.10%"
"12/27/2016","124.95","124.95","124.95","124.95","","0.00%"
"12/23/2016","124.95","125.05","125.06","125.04","0.03K","0.10%"
"12/22/2016","124.83","124.49","124.74","124.49","0.22K","0.15%"
"12/21/2016","124.64","124.52","124.52","124.52","0.09K","0.38%"
"12/20/2016","124.17","123.85","123.85","123.85","0.02K","-0.06%"
"12/19/2016","124.25","123.85","124.38","123.79","0.03K","0.45%"
"12/16/2016","123.69","123.97","123.99","123.74","0.08K","0.36%"
"12/15/2016","123.25","123.43","123.43","123.43","0.20K","-0.92%"
"12/14/2016","124.39","124.23","124.26","124.12","0.13K","0.33%"
"12/13/2016","123.98","123.95","124.09","123.84","0.88K","0.43%"
"12/12/2016","123.45","123.30","123.41","123.14","1.93K","-0.32%"
"12/09/2016","123.85","124.10","124.22","123.60","0.68K","-0.39%"
"12/08/2016","124.34","124.45","124.45","124.23","0.28K","-0.10%"
"12/07/2016","124.46","124.06","124.51","124.06","1.38K","0.38%"
"12/06/2016","123.99","124.23","124.23","123.86","1.97K","-0.16%"
"12/05/2016","124.19","124.15","124.18","123.54","2.10K","-0.12%"
"12/02/2016","124.34","123.65","124.54","123.60","8.53K","0.70%"
"12/01/2016","123.47","123.99","123.99","123.17","2.93K","-0.50%"
"11/30/2016","124.09","124.58","124.75","123.88","11.95K","-0.20%"
"11/29/2016","124.34","124.21","124.61","124.07","32.29K","-0.06%"
"11/28/2016","124.42","124.11","124.54","124.08","248.73K","0.36%"
"11/25/2016","123.97","123.81","124.25","123.72","275.19K","0.18%"
"11/24/2016","123.75","123.73","123.86","123.44","261.06K","0.30%"
"11/23/2016","123.38","124.20","124.51","123.18","470.22K","-0.58%"
"11/22/2016","124.10","123.88","124.43","123.87","201.14K","0.30%"
"11/21/2016","123.73","123.34","123.87","123.31","118.18K","0.37%"
"11/18/2016","123.28","123.18","123.87","122.92","147.54K","-0.55%"
"11/17/2016","123.96","124.35","124.42","123.57","151.09K","0.08%"
"11/16/2016","123.86","123.80","124.21","123.47","149.84K","-0.22%"
"11/15/2016","124.13","123.71","124.41","123.64","182.66K","0.53%"
"11/14/2016","123.48","123.54","123.90","122.87","197.86K","-0.60%"
"11/11/2016","124.22","123.72","124.47","123.60","114.15K","-0.14%"
"11/10/2016","124.39","124.99","125.10","123.94","247.55K","-0.83%"
"11/09/2016","125.43","125.75","126.19","124.62","236.37K","-0.02%"
"11/08/2016","125.45","125.94","125.94","125.14","146.46K","-0.31%"
"11/07/2016","125.84","125.99","126.18","125.65","102.84K","-0.43%"
"11/04/2016","126.38","125.84","126.68","125.67","142.92K","0.61%"
"11/03/2016","125.61","125.88","126.41","125.06","232.86K","-0.23%"
"11/02/2016","125.90","125.38","126.15","125.35","202.92K","0.82%"
"11/01/2016","124.88","124.92","125.27","124.68","187.23K","-0.37%"
"10/31/2016","125.34","125.08","125.53","125.00","163.02K","0.21%"
"10/28/2016","125.08","125.08","125.30","124.52","157.60K","-0.06%"
"10/27/2016","125.15","126.07","126.43","124.73","217.27K","-0.74%"
"10/26/2016","126.08","126.81","126.89","125.92","182.76K","-0.67%"
"10/25/2016","126.93","126.96","127.02","126.45","202.42K","0.10%"
"10/24/2016","126.80","127.15","127.34","126.65","132.28K","-0.10%"
"10/21/2016","126.93","126.66","127.25","126.55","128.27K","0.07%"
"10/20/2016","126.84","126.65","126.98","126.11","163.01K","0.02%"
"10/19/2016","126.82","126.78","127.11","126.61","177.97K","0.01%"
"10/18/2016","126.81","126.43","126.98","126.19","207.85K","0.35%"
"10/17/2016","126.37","126.25","126.46","125.30","244.09K","-0.14%"
"10/14/2016","126.55","127.19","127.22","126.03","276.46K","-0.71%"
"10/13/2016","127.45","127.44","127.80","127.23","208.26K","0.23%"
"10/12/2016","127.16","127.47","127.71","126.95","207.49K","-0.42%"
"10/11/2016","127.70","127.43","127.95","127.41","206.62K","0.23%"
"10/10/2016","127.41","127.93","127.95","127.14","130.37K","-0.45%"
"10/07/2016","127.99","128.05","128.45","127.39","258.22K","-0.73%"
"10/06/2016","128.93","129.64","129.90","128.54","261.67K","-0.47%"
"10/05/2016","129.54","130.07","130.08","129.40","196.94K","-0.47%"
"10/04/2016","130.15","130.46","130.70","129.80","194.96K","-0.21%"
"10/03/2016","130.42","130.25","130.61","130.22","140.59K","0.13%"
"09/30/2016","130.25","131.10","131.21","130.04","216.88K","-0.34%"
"09/29/2016","130.70","130.90","130.95","130.36","145.47K","-1.15%"
"09/28/2016","132.22","132.38","132.38","132.18","0.55K","-0.11%"
"09/27/2016","132.36","132.12","132.60","132.12","0.14K","0.35%"
"09/26/2016","131.90","130.79","131.03","130.64","0.05K","0.17%"
"09/23/2016","131.68","131.75","131.75","131.75","0.52K","-0.03%"
"09/22/2016","131.72","131.55","131.90","131.37","0.17K","0.70%"
"09/21/2016","130.81","130.70","131.09","130.56","","-0.06%"
"09/20/2016","130.89","130.34","130.90","130.34","0.33K","0.63%"
