"Date","Price","Open","High","Low","Vol.","Change %"
"10/17/2018","339.14","339.60","340.54","336.63","","-0.21%"
"10/16/2018","339.86","334.01","340.77","332.48","","2.01%"
"10/15/2018","333.17","330.90","336.24","330.66","","0.57%"
"10/12/2018","331.29","334.69","335.71","329.38","","-0.28%"
"10/11/2018","332.22","342.38","342.38","331.84","","-2.86%"
"10/10/2018","342.00","346.38","348.10","341.94","","-1.55%"
"10/09/2018","347.39","346.38","348.36","344.92","","0.30%"
"10/08/2018","346.36","341.69","347.61","341.69","","1.46%"
"10/05/2018","341.38","341.43","343.32","341.04","","0.03%"
"10/04/2018","341.29","342.84","342.93","338.70","","-0.83%"
"10/03/2018","344.13","347.65","348.73","341.87","","-0.96%"
"10/02/2018","347.46","348.63","349.52","347.21","","-0.30%"
"10/01/2018","348.52","352.13","352.35","348.49","","-0.95%"
"09/28/2018","351.87","347.07","351.88","347.07","","1.40%"
"09/27/2018","347.00","346.49","348.77","346.33","","0.16%"
"09/26/2018","346.43","350.42","350.99","346.25","","-1.18%"
"09/25/2018","350.55","350.62","352.48","350.14","","0.01%"
"09/24/2018","350.51","356.34","356.35","349.09","","-1.83%"
"09/21/2018","357.04","357.17","358.87","356.11","","-0.08%"
"09/20/2018","357.32","354.63","357.44","353.08","","0.88%"
"09/19/2018","354.21","358.60","358.69","353.61","","-1.15%"
"09/18/2018","358.34","360.18","360.64","357.79","","-0.53%"
"09/17/2018","360.25","358.42","360.68","357.73","","0.47%"
"09/14/2018","358.58","360.74","360.74","356.19","","-0.81%"
"09/13/2018","361.52","360.73","362.48","359.85","","0.49%"
"09/12/2018","359.77","359.77","360.81","358.66","","0.02%"
"09/11/2018","359.71","359.42","360.96","358.38","","-0.11%"
"09/10/2018","360.09","359.75","362.02","359.66","","0.43%"
"09/07/2018","358.56","361.38","361.38","358.05","","-1.06%"
"09/06/2018","362.41","361.82","363.22","361.75","","0.26%"
"09/05/2018","361.47","358.48","362.38","356.98","","0.61%"
"09/04/2018","359.29","362.61","363.25","358.53","","-1.03%"
"08/31/2018","363.03","362.00","363.93","361.71","","0.31%"
"08/30/2018","361.90","364.08","364.40","361.51","","-0.53%"
"08/29/2018","363.81","364.33","365.08","363.48","","-0.03%"
"08/28/2018","363.91","359.66","363.92","359.08","","1.19%"
"08/27/2018","359.62","360.82","361.00","357.96","","-0.20%"
"08/24/2018","360.33","358.26","360.52","357.83","","0.56%"
"08/23/2018","358.33","359.28","359.95","358.20","","-0.22%"
"08/22/2018","359.11","360.61","360.82","357.95","","-0.55%"
"08/21/2018","361.08","363.21","363.24","360.48","","-0.69%"
"08/20/2018","363.60","364.02","365.62","363.19","","0.03%"
"08/17/2018","363.50","360.08","363.53","360.05","","0.95%"
"08/16/2018","360.08","357.52","360.13","357.07","","0.67%"
"08/15/2018","357.67","354.59","357.93","354.04","","0.81%"
"08/14/2018","354.80","353.39","355.55","353.19","","0.50%"
"08/13/2018","353.02","353.24","353.98","352.17","","-0.03%"
"08/10/2018","353.11","355.60","356.66","353.02","","-0.88%"
"08/09/2018","356.26","355.58","357.28","355.48","","0.08%"
"08/08/2018","355.99","357.69","357.69","355.22","","-0.42%"
"08/07/2018","357.50","358.22","358.22","355.87","","-0.21%"
"08/06/2018","358.26","358.57","360.14","357.54","","-0.11%"
"08/03/2018","358.64","355.23","359.00","354.99","","1.03%"
"08/02/2018","354.99","355.05","356.94","354.41","","-0.33%"
"08/01/2018","356.17","352.13","356.41","350.55","","0.59%"
"07/31/2018","354.09","349.80","355.41","349.57","","1.76%"
"07/30/2018","347.96","347.80","348.72","345.29","","0.08%"
"07/27/2018","347.67","352.24","352.48","347.35","","-1.08%"
"07/26/2018","351.47","350.95","353.29","350.63","","0.33%"
"07/25/2018","350.32","347.90","351.12","347.90","","0.73%"
"07/24/2018","347.77","349.45","349.61","346.71","","-0.49%"
"07/23/2018","349.48","349.93","349.95","347.30","","-0.15%"
