"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2022","3.6400","3.6410","3.6410","3.6410","","0.00%"
"01/07/2022","3.6400","3.6410","3.6744","3.6410","0.28K","0.00%"
"01/06/2022","3.6400","3.6650","3.6751","3.6410","0.44K","0.00%"
"01/05/2022","3.6400","3.6410","3.6753","3.6410","0.90K","0.00%"
"01/04/2022","3.6400","3.6410","3.6804","3.6410","0.91K","0.00%"
"01/03/2022","3.6400","3.6418","3.6760","3.6410","0.97K","-0.04%"
"01/01/2022","3.6415","3.6418","3.6418","3.6418","","0.00%"
"12/31/2021","3.6415","3.6418","3.6731","3.6410","0.42K","0.00%"
"12/30/2021","3.6415","3.6410","3.6772","3.6410","1.03K","0.04%"
"12/29/2021","3.6400","3.6410","3.6752","3.6410","1.53K","0.00%"
"12/28/2021","3.6400","3.6418","3.6707","3.6410","1.00K","-0.04%"
"12/27/2021","3.6415","3.6418","3.6730","3.6410","0.74K","0.00%"
"12/25/2021","3.6415","3.6418","3.6418","3.6418","","0.00%"
"12/24/2021","3.6415","3.6418","3.6650","3.6410","0.67K","0.00%"
"12/23/2021","3.6415","3.6418","3.6734","3.6410","0.47K","0.00%"
"12/22/2021","3.6415","3.6418","3.6706","3.6410","0.76K","0.00%"
"12/21/2021","3.6415","3.6650","3.6692","3.6418","0.06K","-0.60%"
"12/20/2021","3.6635","3.6697","3.6698","3.6627","0.01K","0.65%"
"12/18/2021","3.6400","3.6410","3.6410","3.6410","","0.00%"
"12/17/2021","3.6400","3.6410","3.6755","3.6410","1.38K","0.00%"
"12/16/2021","3.6400","3.6410","3.6758","3.6410","0.84K","0.00%"
"12/15/2021","3.6400","3.6410","3.6774","3.6410","0.94K","0.00%"
"12/14/2021","3.6400","3.6650","3.6732","3.6410","0.46K","-0.80%"
"12/13/2021","3.6692","3.6673","3.6736","3.6628","0.01K","0.80%"
"12/11/2021","3.6400","3.6410","3.6418","3.6410","","0.00%"
"12/10/2021","3.6400","3.6410","3.6695","3.6410","1.46K","0.00%"
"12/09/2021","3.6400","3.6418","3.6688","3.6410","0.92K","-0.04%"
"12/08/2021","3.6415","3.6418","3.6696","3.6410","0.61K","0.00%"
"12/07/2021","3.6415","3.6410","3.6680","3.6410","1.12K","0.04%"
"12/06/2021","3.6400","3.6418","3.6675","3.6410","0.92K","-0.04%"
"12/04/2021","3.6415","3.6418","3.6418","3.6418","","-0.66%"
"12/03/2021","3.6657","3.6662","3.6678","3.6641","0.00K","0.08%"
"12/02/2021","3.6628","3.6630","3.6681","3.6410","0.15K","0.00%"
"12/01/2021","3.6628","3.6410","3.6716","3.6410","0.57K","0.63%"
"11/30/2021","3.6400","3.6630","3.6697","3.6410","0.97K","-0.68%"
"11/29/2021","3.6648","3.6630","3.6715","3.6416","1.25K","0.19%"
"11/26/2021","3.6580","3.6410","3.6695","3.6410","0.45K","0.49%"
"11/25/2021","3.6400","3.6410","3.6710","3.6410","1.26K","0.00%"
"11/24/2021","3.6400","3.6410","3.6718","3.6410","1.55K","0.00%"
"11/23/2021","3.6400","3.6630","3.6700","3.6410","0.72K","-0.41%"
"11/22/2021","3.6551","3.6630","3.6679","3.6410","0.49K","-0.14%"
"11/19/2021","3.6603","3.6609","3.6659","3.6609","0.01K","0.27%"
"11/18/2021","3.6506","3.6630","3.6646","3.6410","0.75K","-0.17%"
"11/17/2021","3.6568","3.6630","3.6642","3.6416","0.33K","0.46%"
"11/16/2021","3.6400","3.6410","3.6630","3.6410","1.29K","0.00%"
"11/15/2021","3.6400","3.6543","3.6630","3.6410","0.81K","0.00%"
"11/13/2021","3.6400","3.6410","3.6410","3.6410","","0.00%"
"11/12/2021","3.6400","3.6410","3.6564","3.6410","1.31K","0.00%"
"11/11/2021","3.6400","3.6410","3.6630","3.6410","1.41K","0.00%"
"11/10/2021","3.6400","3.6410","3.6630","3.6410","1.49K","0.00%"
"11/09/2021","3.6400","3.6410","3.6630","3.6410","1.10K","0.00%"
"11/08/2021","3.6400","3.6547","3.6630","3.6410","0.88K","-0.16%"
"11/05/2021","3.6457","3.6560","3.6562","3.6560","0.00K","-0.08%"
"11/04/2021","3.6486","3.6630","3.6630","3.6416","0.34K","-0.03%"
"11/03/2021","3.6498","3.6410","3.6630","3.6410","1.02K","0.27%"
"11/02/2021","3.6400","3.6410","3.6630","3.6410","0.86K","0.00%"
"11/01/2021","3.6400","3.6589","3.6644","3.6410","1.96K","-0.24%"
"10/29/2021","3.6488","3.6410","3.6596","3.6410","1.18K","0.24%"
"10/28/2021","3.6400","3.6410","3.6646","3.6410","1.17K","0.00%"
"10/27/2021","3.6400","3.6410","3.6634","3.6410","1.49K","0.00%"
"10/26/2021","3.6400","3.6410","3.6618","3.6410","0.69K","-0.31%"
"10/25/2021","3.6513","3.6414","3.6606","3.6410","1.14K","0.31%"
"10/23/2021","3.6400","3.6410","3.6410","3.6410","","0.00%"
"10/22/2021","3.6400","3.6410","3.6632","3.6410","0.83K","-0.33%"
"10/21/2021","3.6521","3.6630","3.6662","3.6558","0.00K","-0.18%"
"10/20/2021","3.6587","3.6410","3.6708","3.6410","1.20K","0.51%"
"10/19/2021","3.6400","3.6625","3.6630","3.6410","0.40K","-0.47%"
"10/18/2021","3.6573","3.6598","3.6635","3.6416","0.83K","0.43%"
"10/16/2021","3.6415","3.6418","3.6418","3.6418","","0.00%"
"10/15/2021","3.6415","3.6418","3.6637","3.6418","0.09K","0.00%"
"10/14/2021","3.6415","3.6630","3.6637","3.6410","1.84K","-0.31%"
"10/13/2021","3.6527","3.6630","3.6636","3.6416","0.10K","0.05%"
"10/12/2021","3.6510","3.6630","3.6640","3.6416","0.27K","-0.31%"
"10/11/2021","3.6625","3.6416","3.6675","3.6416","0.20K","0.10%"
"10/08/2021","3.6587","3.6527","3.6641","3.6527","0.01K","0.16%"
"10/07/2021","3.6527","3.6630","3.6741","3.6416","0.89K","0.00%"
"10/06/2021","3.6527","3.6630","3.6697","3.6410","0.63K","0.35%"
"10/05/2021","3.6400","3.6410","3.6714","3.6410","1.99K","0.00%"
"10/04/2021","3.6400","3.6630","3.7000","3.6410","0.83K","-0.04%"
"10/02/2021","3.6415","3.6418","3.6418","3.6418","","0.04%"
